conversion_id,campaign_id,timestamp,user_id,revenue_usd,country,customer_segment
CONV1,CMP002,2025-04-03 22:06:08,b5961e46-ddc7-4b82-b913-d76bdd93a3dd,46.04,UK,Returning
CONV2,CMP011,2026-04-26 10:58:15,4f089c70-5ae0-46fb-b6db-efbc938b257e,276.79,Germany,Returning
CONV3,CMP032,2026-10-08 02:54:27,61954f00-5cb5-4b74-b0e8-fd57ef8dfc07,284.52,Germany,New
CONV4,CMP001,2026-03-04 16:02:00,0182bdde-cb96-43af-b5fa-b87b1f413960,67.09,India,New
CONV5,CMP024,2026-09-06 23:00:35,c6b84562-7789-4b3a-9327-efa4a9701537,148.54,India,New
CONV6,CMP026,2026-12-29 22:00:22,e413ae36-5b92-4e08-8fa8-28386a4efca2,140.78,UK,VIP
CONV7,CMP035,2026-11-26 06:19:38,fe176f2b-ccb1-41e9-9e94-295ce0a25251,31.68,India,New
CONV8,CMP037,2026-12-04 20:17:32,27515e2b-2415-4394-b7c7-1bbc7e337e50,140.22,Germany,New
CONV9,CMP013,2025-11-30 22:23:55,5e0a7615-6023-40b5-9397-6cefe402e704,86.69,India,New
CONV10,CMP017,2026-01-04 00:38:31,d49eba73-6c72-4b43-803f-5a5d6b24dfaa,57.56,India,New
CONV11,CMP023,2026-04-23 21:31:35,ff1995d2-901b-412e-833a-6037a2009909,19.21,India,VIP
CONV12,CMP023,2026-02-26 10:59:20,cb19b4b0-4791-4463-adc8-34f31aabf2b9,283.37,India,New
CONV13,CMP010,2026-10-03 09:33:33,fbbb7936-cebb-4abd-8738-a1125336fad7,23.78,India,Returning
CONV14,CMP008,2026-03-15 10:01:21,40f64ea8-9a81-4cb1-8024-6c563fcc5cdd,223.65,USA,New
CONV15,CMP007,2026-08-01 13:20:30,1a0ab18f-f47a-46e2-8d72-d0b1385d1f13,179.71,USA,New
CONV16,CMP012,2026-11-17 17:55:19,38d7932a-8b7a-4b26-996e-626243a47e31,163.52,UK,Returning
CONV17,CMP013,2025-11-15 22:16:28,b955dcfb-0f9e-44b8-8a18-efc2497c76d8,275.23,UK,Returning
CONV18,CMP005,2026-05-14 02:11:14,332ad103-63ca-4f20-882d-7a0426c5d769,255.63,India,New
CONV19,CMP039,2026-01-25 05:04:48,a847637a-b8c2-4e57-9a58-25cb1c7b69d6,148.39,India,New
CONV20,CMP033,2025-10-20 19:53:06,3b8b3af8-d91b-4eeb-a374-5c8c7aad82ab,160.12,UK,Returning
CONV21,CMP001,2026-03-15 13:10:11,44e0d7b0-cff8-4551-abff-1f6ac71c7b40,255.29,India,Returning
CONV22,CMP027,2026-03-19 16:29:19,0c27e8f2-52b1-4cdb-9261-2dde157bcd04,128.92,India,New
CONV23,CMP020,2026-01-04 13:45:54,078431b9-c4f5-4dd1-b6f1-c478c92a2211,146.75,Germany,New
CONV24,CMP007,2026-08-09 16:49:02,d623d3a8-035f-4976-80b4-23032fb3698d,124.55,India,New
CONV25,CMP030,2026-07-27 12:59:55,fa29f2e0-ae75-427b-ae6a-358351d73961,82.63,India,New
CONV26,CMP009,2025-08-28 08:09:13,c48fe9a2-d792-4754-bf96-73e96e32e0b7,183.89,USA,New
CONV27,CMP001,2026-04-03 12:50:21,2fd3b3f7-29a2-446e-88d4-ae6f8fdbd953,273.01,USA,New
CONV28,CMP008,2026-03-25 14:40:12,cb645c02-bcbd-4573-b41c-b16cfd53c850,80.72,India,Returning
CONV29,CMP039,2025-12-28 13:55:10,5b95ec49-3794-42b1-aed6-ecc5164bbad1,179.54,USA,New
CONV30,CMP008,2026-04-04 05:30:31,e0de804a-f97c-4ede-a49f-e11df87115f0,78.67,Canada,Returning
CONV31,CMP031,2026-09-15 16:32:51,9c0b9232-342e-4394-978c-1e6570539c94,167.41,Germany,Returning
CONV32,CMP015,2025-04-22 05:11:20,6207aa24-e882-4a96-aaa3-52b4656673f7,197.13,India,Returning
CONV33,CMP025,2025-07-19 15:08:34,f10d6d84-b2f0-43c3-9c64-51b1b9840d5b,261.32,USA,New
CONV34,CMP025,2025-07-22 00:29:58,f4616211-93f2-4f34-a71b-9f81cc902199,29.09,UK,New
CONV35,CMP001,2026-04-02 20:21:20,e46739c5-c3f9-4d9f-b745-d66aa2d815f1,160.01,India,New
CONV36,CMP013,2025-12-06 14:30:59,41e10dcb-9d0b-4da1-9278-22fa4008b3c5,237.99,India,New
CONV37,CMP035,2026-10-22 01:47:39,c7b61614-58f7-4a76-8db7-b3c00a94643a,208.79,USA,Returning
CONV38,CMP009,2025-08-22 03:24:04,616bb947-bd4f-482d-88dc-b73a945677fc,11.58,UK,New
CONV39,CMP026,2026-11-29 14:19:35,d443ac9d-304d-43df-bcea-cca7b042d47d,102.94,USA,Returning
CONV40,CMP012,2026-10-30 19:54:10,3985d03c-1795-43f1-aa12-2b5afe9ffa54,214.39,USA,New
CONV41,CMP025,2025-08-01 17:09:56,e33892eb-34ce-4bb6-ad2f-7a8170eecdd7,276.46,Germany,New
CONV42,CMP033,2025-09-16 14:32:28,9a8fbdd4-e835-4ccd-89f3-62cc53bbfa34,120.69,USA,Returning
CONV43,CMP033,2025-10-04 17:21:51,5e011b98-8106-400b-86d5-082dc5ece245,287.08,Canada,New
CONV44,CMP007,2026-08-21 12:34:06,77c2c710-c664-4658-9c45-edf02c55b8a4,209.3,Germany,Returning
CONV45,CMP015,2025-04-07 11:50:40,7817aa75-46ac-4069-bb12-0aa7d5ebb6ad,139.76,India,Returning
CONV46,CMP020,2026-01-11 13:26:10,543a836e-539c-4feb-bed6-eabe2f89d33c,147.74,India,New
CONV47,CMP020,2026-01-03 23:12:49,9d9081d4-ce63-4c1b-af4c-375332faee7a,172.96,Germany,New
CONV48,CMP021,2026-01-31 03:33:00,6e39154b-e053-4eea-92c2-aaf8112be0f5,217.24,India,New
CONV49,CMP001,2026-03-28 07:34:43,2979946f-6bd3-4d6b-8e4d-57687d1097ad,71.38,UK,New
CONV50,CMP021,2026-02-09 08:08:31,4099fad5-b464-4491-a877-9d73f0a814db,189.25,India,New
CONV51,CMP008,2026-03-30 03:15:06,2a9071ec-cd79-44e9-82ea-1647012849e8,233.18,USA,VIP
CONV52,CMP002,2025-03-21 10:50:03,35571f67-dab6-4373-be1d-40bfee3091e7,95.62,Germany,New
CONV53,CMP032,2026-09-20 10:13:10,8e548fd8-8be8-4090-b6b3-b4a950c22c89,69.55,India,New
CONV54,CMP022,2026-12-30 18:01:01,9ba744bf-99c4-4f2f-813f-c22c90c29484,104.77,USA,Returning
CONV55,CMP036,2025-09-30 11:03:55,e02ffdda-9cc6-4910-b52f-fb4ada7e05e0,26.41,Canada,New
CONV56,CMP018,2026-07-06 13:46:34,36f14e27-d3b3-44ef-9a6c-663ad4a94817,209.27,India,Returning
CONV57,CMP028,2025-11-01 01:47:37,677480ab-5555-4465-baf7-888f57716954,157.09,Canada,Returning
CONV58,CMP011,2026-03-06 20:23:01,d33b22b9-8ab3-4a04-9357-afa88b6097c1,206.41,Germany,New
CONV59,CMP025,2025-07-15 10:50:16,238e7be5-8708-4bab-9b4a-4508b8ab374f,263.08,India,Returning
CONV60,CMP018,2026-07-05 23:22:37,7a851746-fdb5-4041-b5b8-b2f1522e4567,55.18,UK,New
CONV61,CMP019,2025-05-26 22:44:25,0fb26f92-debf-4a28-88ae-88d0b84512b4,168.04,UK,New
CONV62,CMP006,2025-08-29 21:27:07,75308bb6-75a1-4a65-84e6-5f7e567b0e6c,249.54,Canada,New
CONV63,CMP017,2026-01-17 03:13:14,205daa21-7acb-40d3-8179-5bfcf4c19eeb,291.05,Germany,New
CONV64,CMP014,2026-11-21 05:01:33,803b92a2-a712-4bcf-993f-373e49eb4fdb,64.53,India,New
CONV65,CMP027,2026-03-25 08:32:11,b3a807a6-f3aa-49c6-95bf-3e37e12d1d22,33.89,Canada,New
CONV66,CMP035,2026-10-25 02:24:28,aa6e0e45-9433-4ff7-98aa-4f294debbba8,73.39,UK,New
CONV67,CMP001,2026-03-26 04:23:42,1a0cd9e0-be2f-40e6-87b0-92c31aa3cc38,212.6,Germany,New
CONV68,CMP009,2025-07-12 05:44:19,c68e9eb8-6de1-486d-ad8f-b156a81451f2,130.84,India,New
CONV69,CMP029,2026-02-25 14:02:30,0c8db82d-d9ff-46b5-b048-71ac249d8734,221.93,UK,VIP
CONV70,CMP017,2026-01-30 09:45:47,569cb80a-6188-4159-b2cb-b98aa6302bb1,230.72,Germany,New
CONV71,CMP008,2026-03-29 03:53:25,de012c22-c0c2-4778-b6c9-fbceccc6e66b,40.61,UK,New
CONV72,CMP024,2026-10-11 21:13:15,e60ffb6f-fa3b-4bd2-81df-c41738f01c68,217.19,Canada,New
CONV73,CMP036,2026-01-01 17:16:06,a32f7a45-71f3-4581-bd6a-fa5d4e0db104,89.52,India,New
CONV74,CMP010,2026-08-19 08:29:00,0157294c-847e-42a5-9c5b-8bf14ef4ba56,204.07,Canada,New
CONV75,CMP038,2025-02-10 14:48:28,7b1ce81f-bff8-43e5-81da-c7bff2e8e3bf,61.0,UK,VIP
CONV76,CMP008,2026-04-23 09:28:36,e8e504e8-5944-490c-8e0b-0978b6568283,133.94,Germany,New
CONV77,CMP004,2026-12-12 13:08:51,fd24b85e-95b5-4f1f-a700-a04f97c4e1f5,131.78,UK,Returning
CONV78,CMP013,2025-12-04 04:03:11,7425e136-84f0-4102-b5c9-f56b79fb6585,280.43,USA,New
CONV79,CMP032,2026-09-28 08:38:34,9d196314-8a06-4824-9ce6-9291ae8284f4,89.56,USA,Returning
CONV80,CMP004,2026-12-13 11:51:20,87c07a63-22d0-4c30-8801-99ca33aabc17,230.48,India,Returning
CONV81,CMP014,2026-11-22 11:15:03,a834c156-99a4-4d1e-b87d-93787667ff36,92.08,India,Returning
CONV82,CMP021,2026-02-15 10:31:15,7a45a661-6567-4793-9fe5-3d232f1eba80,165.39,India,Returning
CONV83,CMP002,2025-05-04 11:42:43,999c5eb7-a080-45e0-96e0-66f96b5700f8,109.51,India,New
CONV84,CMP035,2026-11-08 00:58:49,d3798a7f-5fd9-4467-8835-d367dcc02c97,230.44,Canada,New
CONV85,CMP036,2025-12-28 07:18:57,0dcd13cc-a82c-4453-9a20-7c980ffdd65d,12.48,India,New
CONV86,CMP010,2026-10-14 16:28:04,ba59e10d-1ff6-49b6-ab91-088e09ed0df1,189.07,USA,New
CONV87,CMP032,2026-10-16 22:30:12,2b2c5a21-ad64-449d-9660-734894a3c365,208.31,Canada,New
CONV88,CMP004,2026-12-05 11:38:19,471cd8ee-1b52-4fe2-8b97-53b400070843,232.63,USA,New
CONV89,CMP014,2026-10-26 19:54:04,6636079d-7963-4900-b9f1-babd625b1717,98.42,UK,Returning
CONV90,CMP038,2025-02-22 22:20:37,3f6a4f5b-d22e-4960-9775-313ae72ffd76,222.41,India,New
CONV91,CMP013,2025-11-26 10:24:41,f4be7b7f-2298-4201-9993-1f40b132280f,135.31,Germany,New
CONV92,CMP038,2025-02-26 06:03:03,1bfd2c54-0d8e-4352-86fa-1dc1ed8926fd,56.51,India,VIP
CONV93,CMP027,2026-05-15 13:46:04,7cfb834e-d30f-4458-a4fd-a75116ed69a3,174.5,USA,New
